obj_id,ra,dec,filter,mjd,instrument_id,instrument_name,ra_unc,dec_unc,origin,id,groups,altdata,mag,magerr,magsys,limiting_mag
ZTF19aadyppr,,,ztfg,58968.30657410016,1,ZTF,,,,1771946,"[22, 37, 41, 43]",,,,ab,20.8533992767334
ZTF19aadyppr,,,ztfg,58828.557708300184,1,ZTF,,,,1771924,"[22, 37, 41, 43]",,,,ab,19.69770050048828
ZTF19aadyppr,,,ztfr,58968.36370369978,1,ZTF,,,,1771947,"[22, 37, 41, 43]",,,,ab,20.779800415039062
ZTF19aadyppr,,,ztfg,58969.22798610013,1,ZTF,,,,1771948,"[22, 37, 41, 43]",,,,ab,18.81760025024414
ZTF19aadyppr,202.4266705,47.187996,ztfr,58647.2411342999,1,ZTF,,,,1771900,"[22, 37, 41, 43]",,18.19969940185547,0.06483499705791473,ab,20.081899642944336
ZTF19aadyppr,,,ztfr,58831.447800899856,1,ZTF,,,,1771925,"[22, 37, 41, 43]",,,,ab,18.560400009155273
ZTF19aadyppr,202.4266907,47.1879592,ztfr,58650.246423599776,1,ZTF,,,,1771901,"[22, 37, 41, 43]",,18.26420021057129,0.07958699762821198,ab,19.932600021362305
ZTF19aadyppr,,,ztfr,58971.228634300176,1,ZTF,,,,1771949,"[22, 37, 41, 43]",,,,ab,20.277000427246094
ZTF19aadyppr,,,ztfg,58971.30189809995,1,ZTF,,,,1771950,"[22, 37, 41, 43]",,,,ab,20.111000061035156
ZTF19aadyppr,,,ztfg,58653.26105319988,1,ZTF,,,,1771902,"[22, 37, 41, 43]",,,,ab,19.75510025024414
ZTF19aadyppr,,,ztfg,58831.55849540001,1,ZTF,,,,1771926,"[22, 37, 41, 43]",,,,ab,19.433500289916992
ZTF19aadyppr,,,ztfg,58657.19829860004,1,ZTF,,,,1771903,"[22, 37, 41, 43]",,,,ab,20.71470069885254
ZTF19aadyppr,,,ztfr,58974.25844909996,1,ZTF,,,,1771951,"[22, 37, 41, 43]",,,,ab,19.933300018310547
ZTF19aadyppr,,,ztfr,58974.271238400135,1,ZTF,,,,1771952,"[22, 37, 41, 43]",,,,ab,19.88319969177246
ZTF19aadyppr,,,ztfg,58974.45468749991,1,ZTF,,,,1771953,"[22, 37, 41, 43]",,,,ab,19.3572998046875
ZTF19aadyppr,,,ztfr,58835.4912963002,1,ZTF,,,,1771927,"[22, 37, 41, 43]",,,,ab,19.562000274658203
ZTF19aadyppr,,,ztfg,58975.28218750004,1,ZTF,,,,1771954,"[22, 37, 41, 43]",,,,ab,19.520299911499023
ZTF19aadyppr,,,ztfr,58976.262013900094,1,ZTF,,,,1771955,"[22, 37, 41, 43]",,,,ab,19.829599380493164
ZTF19aadyppr,202.4266647,47.187962,ztfr,58657.26706020022,1,ZTF,,,,1771904,"[22, 37, 41, 43]",,18.4591007232666,0.08455000072717667,ab,20.403400421142578
ZTF19aadyppr,,,ztfg,58660.19454859989,1,ZTF,,,,1771905,"[22, 37, 41, 43]",,,,ab,20.130199432373047
ZTF19aadyppr,,,ztfg,58836.56594910007,1,ZTF,,,,1771928,"[22, 37, 41, 43]",,,,ab,20.26409912109375
ZTF19aadyppr,202.4266452,47.1879444,ztfr,58663.200405099895,1,ZTF,,,,1771906,"[22, 37, 41, 43]",,18.6299991607666,0.07689700275659561,ab,20.290300369262695
ZTF19aadyppr,,,ztfg,58838.49174770014,1,ZTF,,,,1771929,"[22, 37, 41, 43]",,,,ab,18.62579917907715
ZTF19aadyppr,,,ztfr,58838.55843750015,1,ZTF,,,,1771930,"[22, 37, 41, 43]",,,,ab,18.82469940185547
ZTF19aadyppr,,,ztfg,58663.22853010008,1,ZTF,,,,1771907,"[22, 37, 41, 43]",,,,ab,20.68120002746582
ZTF19aadyppr,,,ztfg,58667.19559030002,1,ZTF,,,,1771908,"[22, 37, 41, 43]",,,,ab,20.762100219726562
ZTF19aadyppr,,,ztfg,58846.55494209984,1,ZTF,,,,1771931,"[22, 37, 41, 43]",,,,ab,20.69339942932129
ZTF19aadyppr,202.4266719,47.1879622,ztfr,58667.21888889978,1,ZTF,,,,1771909,"[22, 37, 41, 43]",,18.80069923400879,0.06774000078439713,ab,20.651500701904297
ZTF19aadyppr,,,ztfg,58852.53559029987,1,ZTF,,,,1771932,"[22, 37, 41, 43]",,,,ab,20.923099517822266
ZTF19aadyppr,202.4266943,47.1879767,ztfr,58670.17912039999,1,ZTF,,,,1771910,"[22, 37, 41, 43]",,18.723499298095703,0.10246700048446655,ab,20.229299545288086
ZTF19aadyppr,,,ztfr,58852.54885420017,1,ZTF,,,,1771933,"[22, 37, 41, 43]",,,,ab,20.452600479125977
ZTF19aadyppr,,,ztfg,58673.17855319986,1,ZTF,,,,1771911,"[22, 37, 41, 43]",,,,ab,20.2322998046875
ZTF19aadyppr,,,ztfr,58852.57063659979,1,ZTF,,,,1771934,"[22, 37, 41, 43]",,,,ab,20.638099670410156
ZTF19aadyppr,,,ztfr,58673.196608799975,1,ZTF,,,,1771912,"[22, 37, 41, 43]",,,,ab,20.479299545288086
ZTF19aadyppr,,,ztfr,58855.54788189987,1,ZTF,,,,1771935,"[22, 37, 41, 43]",,,,ab,20.639799118041992
ZTF19aadyppr,202.4266831,47.1879849,ztfr,58676.21109949984,1,ZTF,,,,1771913,"[22, 37, 41, 43]",,18.907800674438477,0.11879500001668931,ab,20.104799270629883
ZTF19aadyppr,,,ztfg,58943.417106499895,1,ZTF,,,,1771936,"[22, 37, 41, 43]",,,,ab,19.970300674438477
ZTF19aadyppr,,,ztfg,58944.4754745001,1,ZTF,,,,1771937,"[22, 37, 41, 43]",,,,ab,19.604900360107422
ZTF19aadyppr,,,ztfg,58954.31193289999,1,ZTF,,,,1771938,"[22, 37, 41, 43]",,,,ab,20.743999481201172
ZTF19aadyppr,,,ztfr,58954.44623839995,1,ZTF,,,,1771939,"[22, 37, 41, 43]",,,,ab,20.149099349975586
ZTF19aadyppr,,,ztfr,58955.25991899986,1,ZTF,,,,1771940,"[22, 37, 41, 43]",,,,ab,20.676000595092773
ZTF19aadyppr,,,ztfg,58955.32690969994,1,ZTF,,,,1771941,"[22, 37, 41, 43]",,,,ab,20.840099334716797
ZTF19aadyppr,,,ztfr,58962.29554399988,1,ZTF,,,,1771942,"[22, 37, 41, 43]",,,,ab,20.676799774169922
ZTF19aadyppr,,,ztfg,58962.34366900008,1,ZTF,,,,1771943,"[22, 37, 41, 43]",,,,ab,20.812400817871094
ZTF19aadyppr,,,ztfg,58965.261724499986,1,ZTF,,,,1771944,"[22, 37, 41, 43]",,,,ab,20.851699829101562
ZTF19aadyppr,,,ztfr,58965.299641199876,1,ZTF,,,,1771945,"[22, 37, 41, 43]",,,,ab,20.737600326538086
ZTF19aadyppr,,,ztfr,59249.40865739994,1,ZTF,,,,19830540,"[3, 41, 43]",,,,ab,19.614599227905273
ZTF19aadyppr,,,ztfg,59249.453518500086,1,ZTF,,,,19830541,"[3, 41, 43]",,,,ab,20.092599868774414
ZTF19aadyppr,,,ztfg,59251.4364467999,1,ZTF,,,,19830542,"[3, 41, 43]",,,,ab,20.778200149536133
ZTF19aadyppr,,,ztfr,59251.46891199984,1,ZTF,,,,19830543,"[3, 41, 43]",,,,ab,20.691299438476562
ZTF19aadyppr,,,ztfg,59253.387500000186,1,ZTF,,,,19830544,"[3, 41, 43]",,,,ab,20.886199951171875
ZTF19aadyppr,,,ztfr,59253.49226849992,1,ZTF,,,,19830545,"[3, 41, 43]",,,,ab,20.768600463867188
ZTF19aadyppr,,,ztfg,59255.38664350007,1,ZTF,,,,19830546,"[3, 41, 43]",,,,ab,20.946399688720703
ZTF19aadyppr,,,ztfr,59255.43554400001,1,ZTF,,,,19830547,"[3, 41, 43]",,,,ab,20.977500915527344
ZTF19aadyppr,,,ztfg,59257.386099500116,1,ZTF,,,,19830548,"[3, 41, 43]",,,,ab,20.43899917602539
ZTF19aadyppr,,,ztfg,59262.506516200025,1,ZTF,,,,19830550,"[3, 41, 43]",,,,ab,20.58839988708496
ZTF19aadyppr,,,ztfr,59262.369085600134,1,ZTF,,,,19830549,"[3, 41, 43]",,,,ab,20.621400833129883
ZTF19aadyppr,,,ztfg,59264.40327550005,1,ZTF,,,,19830551,"[3, 41, 43]",,,,ab,20.899200439453125
ZTF19aadyppr,,,ztfr,59394.30842590006,1,ZTF,,,None,142238412,[3],,,,ab,19.84749984741211
ZTF19aadyppr,,,ztfr,59264.518946799915,1,ZTF,,,,19830552,"[3, 41, 43]",,,,ab,20.72599983215332
ZTF19aadyppr,,,ztfr,59266.36803240003,1,ZTF,,,,19830553,"[3, 41, 43]",,,,ab,19.858699798583984
ZTF19aadyppr,,,ztfg,59266.49480320001,1,ZTF,,,,19830554,"[3, 41, 43]",,,,ab,20.280399322509766
ZTF19aadyppr,,,ztfr,59268.44184029987,1,ZTF,,,,19830555,"[3, 41, 43]",,,,ab,20.45330047607422
ZTF19aadyppr,,,ztfg,59268.49763889983,1,ZTF,,,,19830556,"[3, 41, 43]",,,,ab,20.856300354003906
ZTF19aadyppr,,,ztfr,59270.36771989986,1,ZTF,,,,19830557,"[3, 41, 43]",,,,ab,19.701200485229492
ZTF19aadyppr,,,ztfg,59270.40668979986,1,ZTF,,,,19830558,"[3, 41, 43]",,,,ab,19.58009910583496
ZTF19aadyppr,,,ztfr,59296.37173609994,1,ZTF,,,,105313159,"[3, 41, 43]",,,,ab,19.943599700927734
ZTF19aadyppr,,,ztfg,59300.34870370012,1,ZTF,,,,105313160,"[3, 41, 43]",,,,ab,19.189699172973633
ZTF19aadyppr,,,ztfg,59302.347291700076,1,ZTF,,,,105313161,"[3, 41, 43]",,,,ab,19.496599197387695
ZTF19aadyppr,,,ztfr,59302.40123840002,1,ZTF,,,,105313162,"[3, 41, 43]",,,,ab,19.729999542236328
ZTF19aadyppr,,,ztfg,59304.26472220011,1,ZTF,,,,105313163,"[3, 41, 43]",,,,ab,19.59309959411621
ZTF19aadyppr,,,ztfr,59304.3619328998,1,ZTF,,,,105313164,"[3, 41, 43]",,,,ab,19.344499588012695
ZTF19aadyppr,,,ztfg,59307.303946800064,1,ZTF,,,,105313165,"[3, 41, 43]",,,,ab,20.89579963684082
ZTF19aadyppr,,,ztfr,59307.347048600204,1,ZTF,,,,105313166,"[3, 41, 43]",,,,ab,20.726299285888672
ZTF19aadyppr,,,ztfr,59309.28594909981,1,ZTF,,,,105313167,"[3, 41, 43]",,,,ab,20.7185001373291
ZTF19aadyppr,,,ztfg,59309.30444440013,1,ZTF,,,,105313168,"[3, 41, 43]",,,,ab,20.73940086364746
ZTF19aadyppr,,,ztfg,59311.245312499814,1,ZTF,,,,105313169,"[3, 41, 43]",,,,ab,20.497400283813477
ZTF19aadyppr,,,ztfr,59311.3024420999,1,ZTF,,,,105313170,"[3, 41, 43]",,,,ab,20.73110008239746
ZTF19aadyppr,,,ztfg,59313.26612270018,1,ZTF,,,,105313171,"[3, 41, 43]",,,,ab,20.18239974975586
ZTF19aadyppr,,,ztfr,59313.34633099986,1,ZTF,,,,105313172,"[3, 41, 43]",,,,ab,20.691499710083008
ZTF19aadyppr,,,ztfr,59315.26104169991,1,ZTF,,,,105313173,"[3, 41, 43]",,,,ab,19.215200424194336
ZTF19aadyppr,,,ztfg,59315.28755789995,1,ZTF,,,,105313174,"[3, 41, 43]",,,,ab,19.63719940185547
ZTF19aadyppr,,,ztfg,59317.26013890002,1,ZTF,,,,105313175,"[3, 41, 43]",,,,ab,21.174100875854492
ZTF19aadyppr,,,ztfr,59317.325925900135,1,ZTF,,,,105313176,"[3, 41, 43]",,,,ab,20.6697998046875
ZTF19aadyppr,,,ztfg,59321.3709028,1,ZTF,,,,105313177,"[3, 41, 43]",,,,ab,20.950599670410156
ZTF19aadyppr,,,ztfr,59321.41377309989,1,ZTF,,,,105313178,"[3, 41, 43]",,,,ab,20.789499282836914
ZTF19aadyppr,,,ztfg,59323.30666670017,1,ZTF,,,,105313179,"[3, 41, 43]",,,,ab,20.563499450683594
ZTF19aadyppr,,,ztfr,59323.36980320001,1,ZTF,,,,105313180,"[3, 41, 43]",,,,ab,20.648300170898438
ZTF19aadyppr,,,ztfi,59394.24685190013,1,ZTF,,,None,142238439,[3],,,,ab,19.88800048828125
ZTF19aadyppr,,,ztfi,59400.23708330002,1,ZTF,,,None,142238440,[3],,,,ab,19.862899780273438
ZTF19aadyppr,,,ztfi,59409.26884259982,1,ZTF,,,None,142238441,[3],,,,ab,19.73979949951172
ZTF19aadyppr,,,ztfr,59396.20166670019,1,ZTF,,,None,142238413,[3],,,,ab,20.59830093383789
ZTF19aadyppr,,,ztfi,59412.203240700066,1,ZTF,,,None,142238442,[3],,,,ab,19.688499450683594
ZTF19aadyppr,,,ztfg,59396.24265050003,1,ZTF,,,None,142238414,[3],,,,ab,20.607500076293945
ZTF19aadyppr,,,ztfi,59415.221493099816,1,ZTF,,,None,142238443,[3],,,,ab,19.690000534057617
ZTF19aadyppr,,,ztfr,59399.197812499944,1,ZTF,,,None,142238415,[3],,,,ab,20.57939910888672
ZTF19aadyppr,,,ztfr,59419.2855440001,1,ZTF,,,None,142238444,[3],,,,ab,16.635900497436523
ZTF19aadyppr,,,ztfg,59399.24678240018,1,ZTF,,,None,142238416,[3],,,,ab,20.408700942993164
ZTF19aadyppr,,,ztfg,59401.22344909981,1,ZTF,,,None,142238417,[3],,,,ab,20.217500686645508
ZTF19aadyppr,,,ztfi,59424.18370370008,1,ZTF,,,None,142238445,[3],,,,ab,20.04960060119629
ZTF19aadyppr,,,ztfr,59401.3208217998,1,ZTF,,,None,142238418,[3],,,,ab,20.13640022277832
ZTF19aadyppr,,,ztfr,59403.20431709988,1,ZTF,,,None,142238419,[3],,,,ab,20.35919952392578
ZTF19aadyppr,202.4266737,47.1879811,ztfr,59424.20694439998,1,ZTF,,,None,142238446,[3],,,,ab,20.0067963526589
ZTF19aadyppr,,,ztfr,59405.203877300024,1,ZTF,,,None,142238420,[3],,,,ab,20.44420051574707
ZTF19aadyppr,,,ztfg,59405.22114579985,1,ZTF,,,None,142238421,[3],,,,ab,20.392799377441406
ZTF19aadyppr,,,ztfr,59407.20346060023,1,ZTF,,,None,142238422,[3],,,,ab,20.352500915527344
ZTF19aadyppr,,,ztfg,59407.23892359994,1,ZTF,,,None,142238423,[3],,,,ab,20.209400177001953
ZTF19aadyppr,,,ztfr,59409.200347200036,1,ZTF,,,None,142238424,[3],,,,ab,20.27120018005371
ZTF19aadyppr,,,ztfg,59409.222048600204,1,ZTF,,,None,142238425,[3],,,,ab,20.221200942993164
ZTF19aadyppr,,,ztfg,59411.19609950017,1,ZTF,,,None,142238426,[3],,,,ab,19.727699279785156
ZTF19aadyppr,,,ztfr,59411.22045140015,1,ZTF,,,None,142238427,[3],,,,ab,19.87540054321289
ZTF19aadyppr,,,ztfg,59414.24016200006,1,ZTF,,,None,142238428,[3],,,,ab,19.517200469970703
ZTF19aadyppr,,,ztfg,59419.1967823999,1,ZTF,,,None,142238429,[3],,,,ab,19.149900436401367
ZTF19aadyppr,,,ztfr,59419.28506939998,1,ZTF,,,None,142238430,[3],,,,ab,16.989999771118164
ZTF19aadyppr,202.4266737,47.1879811,ztfr,59424.20694439998,1,ZTF,,,None,143587743,[3],,,,ab,20.00677243791911
ZTF19aadyppr,202.426681,47.187963,ztfr,59428.18703699997,1,ZTF,,,None,143587744,[3],,,,ab,19.753399933372815
